Gene,locus_tag(gene),old_locus_tag(gene),locus_tag(cds),old_locus_tag(cds),codonStart,translTable,product,protein _id,Unnamed: 9
gene=87..1439,"locus_tag=""MXAN_RS00015""","old_locus_tag=""MXAN_0001""","locus_tag=""MXAN_RS00015""","old_locus_tag=""MXAN_0001""",codon_start=1,transl_table=11,"product=""chromosomal replication initiator protein DnaA""","protein_id=""WP_011550153.1"" ",
gene=1546..3420,"locus_tag=""MXAN_RS00020""","old_locus_tag=""MXAN_0002""","locus_tag=""MXAN_RS00020""","old_locus_tag=""MXAN_0002""",codon_start=1,transl_table=11,"product=""HEAT repeat domain-containing protein""","protein_id=""WP_225909663.1"" ",
gene=complement(3553..3987),"locus_tag=""MXAN_RS00025""","old_locus_tag=""MXAN_0003""","locus_tag=""MXAN_RS00025""","old_locus_tag=""MXAN_0003""",codon_start=1,transl_table=11,"product=""CBS domain-containing protein""","protein_id=""WP_216608955.1"" ",
gene=complement(4009..4491),"locus_tag=""MXAN_RS00030""","old_locus_tag=""MXAN_0004""","locus_tag=""MXAN_RS00030""","old_locus_tag=""MXAN_0004""",codon_start=1,transl_table=11,"product=""DUF2267 domain-containing protein""","protein_id=""WP_026113904.1"" ",
gene=complement(4634..5485),"locus_tag=""MXAN_RS00035""","old_locus_tag=""MXAN_0005""","locus_tag=""MXAN_RS00035""","old_locus_tag=""MXAN_0005""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011550157.1"" ",
gene=5632..7044,"locus_tag=""MXAN_RS00040""",,"locus_tag=""MXAN_RS00040""",,codon_start=1,transl_table=11,"product=""pitrilysin family protein""","protein_id=""WP_020478632.1"" ",
gene=7044..8561,"locus_tag=""MXAN_RS00045""",,"locus_tag=""MXAN_RS00045""",,codon_start=1,transl_table=11,"product=""pitrilysin family protein""","protein_id=""WP_020478633.1"" ",
gene=complement(8667..8975),"locus_tag=""MXAN_RS00050""","old_locus_tag=""MXAN_0008""","locus_tag=""MXAN_RS00050""","old_locus_tag=""MXAN_0008""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011550158.1"" ",
gene=complement(9261..10496),"locus_tag=""MXAN_RS00055""","old_locus_tag=""MXAN_0009""","locus_tag=""MXAN_RS00055""","old_locus_tag=""MXAN_0009""",codon_start=1,transl_table=11,"product=""MFS transporter""","protein_id=""WP_011550159.1"" ",
gene=complement(10660..12276),"locus_tag=""MXAN_RS00060""","old_locus_tag=""MXAN_0010""","locus_tag=""MXAN_RS00060""","old_locus_tag=""MXAN_0010""",codon_start=1,transl_table=11,"product=""CapA family protein""","protein_id=""WP_011550160.1"" ",
